,Name of Author,Authorship Score
497817,Mitsuhiro Ohshima,0.003787879
168354,Dipti Vijayan,0.003787879
471188,Matthias Harbers,0.003787879
600901,Robert Passier,0.003787879
789865,Yuki I. Kawamura,0.003787879
497861,Mitsuko Hara,0.003787879
67806,Atsutaka Kubosaki,0.003787879
505185,Morten B. Rye,0.003787879
428114,Lynsey Fairbairn,0.003787879
19047,Akiko Saka,0.003787879
449189,Margaret Patrikakis,0.003787879
58732,Antti Sajantila,0.003787879
307338,James G. D. Prendergast,0.003787879
497434,Mitsuru Morimoto,0.003787879
531226,Noriko Ninomiya,0.003787879
664018,Soichi Kojima,0.003787879
305528,James Briggs,0.003787879
496787,Misako Yoneda,0.003787879
635547,Sayaka Nagao-Sato,0.003787879
558427,Peter G. Zhang,0.003787879
678738,Sugata Roy,0.003787879
437231,Magda Babina,0.003787879
771177,Yari Ciani,0.003787879
535928,Oliver M. Hofmann,0.003787879
195833,Ernst Wolvetang,0.003787879
557602,Peter Arner,0.003787879
361165,Jun-ichi Furusawa,0.003787879
421583,Louise N. Winteringham,0.003787879
658932,Silvano Piazza,0.003787879
33175,Alka Saxena,0.003787879
447579,Marco Roncador,0.003787879
515196,Naoko Suzuki,0.003787879
526274,Niklas Mejhert,0.003787879
715881,Toshio Kitamura,0.003787879
649638,Shigehiro Yoshida,0.003787879
579496,RIKEN CLST (DGT),0.003787879
649776,Shigeo Koyasu,0.003787879
579497,RIKEN PMII,0.003787879
513013,Naganari Ohkura,0.003787879
651569,Shimon Sakaguchi,0.003787879
221299,Fumio Nakahara,0.003787879
703717,Thomas J. Ha,0.003787879
21607,Albert S. B. Edge,0.003787879
632453,Sarah Krampitz,0.003787879
17101,Ai Kaiho,0.003787879
497145,Mitsuyoshi Murata,0.003787879
81075,Berit Lilje,0.003787879
445066,Marc van de Wetering,0.003787879
747961,Weonju Lee,0.003787879
653248,Shohei Noma,0.003787879
20654,Alan J. Knox,0.003787879
497265,Mizuho Sakai,0.003787879
719005,Tsugumi Kawashima,0.003787879
487106,Michela Fagiolini,0.003787879
379202,Kazuhiro Kajiyama,0.003787879
462935,Mary C. Farach-Carson,0.003787879
689697,Tadasuke Nozaki,0.003787879
77594,Beatrice Bodega,0.003787879
263406,Helena Persson,0.003787879
464853,Masahide Hamaguchi,0.003787879
268743,Hideki Enomoto,0.003787879
690203,Taeko Dohi,0.003787879
122597,Christian Schmidl,0.003787879
169665,Dmitry A. Ovchinnikov,0.003787879
482088,Michael Detmar,0.003787879
192404,Eri Saijyo,0.003787879
189607,Emily J. Wood,0.003787879
715358,Tony J. Kenna,0.003787879
606395,Rolf K. Swoboda,0.003787879
479837,Mette Jørgensen,0.003787879
699699,Teunis B. Geijtenbeek,0.003787879
488871,Michihira Tagami,0.003787879
509546,Mutsumi Kanamori-Katayama,0.003787879
682956,Suzana Savvi,0.003787879
684482,Sven Guhl,0.003787879
220125,Fumi Hori,0.003787879
55395,Anthony G. Beckhouse,0.003787879
619579,S. Peter Klinken,0.003787879
779212,Yohei Yonekura,0.003787879
416446,Linda M. van den Berg,0.003787879
24235,Alessandro Bonetti,0.003787879
383169,Kenichi Nakazato,0.003787879
189220,Emiliano Dalla,0.003787879
101960,Carlo V. Cannistraci,0.003787879
372657,Kaoru Kaida,0.003787879
269368,Hiromi Nishiyori,0.003787879
793676,Yutaka Nakachi,0.003787879
727011,Valerio Orlando,0.003787879
471451,Matthias Edinger,0.003787879
713202,Tomokatsu Ikawa,0.003787879
684924,Swati Pradhan-Bhatt,0.003787879
244679,Gundula G. Schulze-Tanzil,0.003787879
275280,Hozumi Motohashi,0.003787879
593406,Ri-ichiroh Manabe,0.003787879
270950,Hiroo Toyoda,0.003787879
659605,Silvia Zucchelli,0.003787879
270657,Hiroko Ohmiya,0.003787879
55952,Antje Blumenthal,0.003787879
116934,Chieko Kai,0.003787879
682731,Susan E. Zabierowski,0.003787879
