,Author Name,Min CoAuthors,max CoAuthors,Average no of CoAuthors,Median CoAuthors
0,a min tjoa,2,5,3.125,3.0
1,a. a. (louis) beex,2,2,2.0,2.0
2,a. a. a. nasser,3,3,3.0,3.0
3,a. a. al-wali,3,3,3.0,3.0
4,a. a. clarke,2,2,2.0,2.0
5,a. a. diwan,2,2,2.0,2.0
6,a. a. goldstein,1,1,1.0,1.0
7,a. a. jagers,1,2,1.5,1.5
8,a. a. kaposi,2,2,2.0,2.0
9,a. a. klyachko,4,4,4.0,4.0
10,a. a. m. tax,2,2,2.0,2.0
11,a. a. minzoni,3,3,3.0,3.0
12,a. a. saveliev,4,4,4.0,4.0
13,a. a. shabana,2,2,2.0,2.0
14,a. a. shahid,2,2,2.0,2.0
15,a. a. sokolichin,2,2,2.0,2.0
16,a. a. sosnovsky,2,2,2.0,2.0
17,a. a. sulimov,2,2,2.0,2.0
18,a. a. wheeler,3,3,3.0,3.0
19,a. agarwal,4,4,4.0,4.0
20,a. aguila,5,5,5.0,5.0
21,a. ait hssain,3,3,3.0,3.0
22,a. ait mohamed,2,2,2.0,2.0
23,a. akbariazirani,3,3,3.0,3.0
24,a. al-janabi,2,2,2.0,2.0
25,a. alan b. pritsker,2,4,3.0,3.0
26,a. alexeyev,5,5,5.0,5.0
27,a. alves,3,3,3.0,3.0
28,a. ament,4,4,4.0,4.0
29,a. amin,2,2,2.0,2.0
30,a. anderson,3,3,3.0,3.0
31,a. andraws,2,2,2.0,2.0
32,a. angus,3,3,3.0,3.0
33,a. annweiler,3,5,4.0,4.0
34,a. antonio arroyo,3,3,3.0,3.0
35,a. arnold,1,1,1.0,1.0
36,a. aubin,2,4,3.0,3.0
37,a. b. alkhechi,8,8,8.0,8.0
38,a. b. bonds,1,1,1.0,1.0
39,a. b. ekoule,3,3,3.0,3.0
40,a. b. forbes,1,2,1.5,1.5
41,a. b. gamble,3,3,3.0,3.0
42,a. b. kurzydlowska,1,1,1.0,1.0
43,a. b. shamardan,2,2,2.0,2.0
44,a. b. stephens,2,3,2.5,2.5
45,a. b. stine,4,4,4.0,4.0
46,a. b. wan,3,3,3.0,3.0
47,a. baden,16,16,16.0,16.0
48,a. bagchi,2,2,2.0,2.0
49,a. bahaveolos jr.,2,2,2.0,2.0
50,a. balakrishnan,4,4,4.0,4.0
51,a. balaraman,2,2,2.0,2.0
52,a. baldassarra,4,4,4.0,4.0
53,a. balis,5,5,5.0,5.0
54,a. bamigboye,7,7,7.0,7.0
55,a. basu,2,4,3.0,3.0
56,a. bayazitoglu,2,2,2.0,2.0
57,a. behrooz,3,3,3.0,3.0
58,a. bel hala,1,1,1.0,1.0
59,a. ben clymer,1,1,1.0,1.0
60,a. benkouar,4,4,4.0,4.0
61,a. bergmann,5,5,5.0,5.0
