,Number of Coauthors,No of publications
0,101,1
1,104,1
2,11,6786
3,119,1
4,14,2002
5,155,1
6,17,788
7,2,1290281
8,20,400
9,23,195
10,26,102
11,287,2
12,29,88
13,32,54
14,35,31
15,38,19
16,41,9
17,44,14
18,47,11
19,5,374130
20,50,8
21,53,4
22,56,4
23,59,4
24,62,1
25,65,2
26,68,2
27,71,2
28,74,1
29,77,3
30,8,38859
31,86,1
32,92,1
33,95,1
0,102,1
1,105,2
2,12,4391
3,15,1445
4,18,605
5,21,319
6,24,182
7,264,1
8,27,110
9,3,1180751
10,30,86
11,33,44
12,36,36
13,39,21
14,42,18
15,45,13
16,48,14
17,51,6
18,54,3
19,57,11
20,6,177285
21,60,4
22,66,1
23,69,3
24,75,3
25,78,1
26,9,20292
27,96,1
28,99,1
0,1,810096
1,10,11921
2,112,1
3,115,1
4,118,1
5,13,2951
6,139,1
7,16,1011
8,19,503
9,22,246
10,25,148
11,28,112
12,31,53
13,34,37
14,37,29
15,4,744620
16,40,17
17,43,15
18,46,9
19,49,6
20,52,10
21,55,7
22,58,3
23,61,3
24,64,3
25,67,2
26,7,77161
27,70,1
28,73,1
29,76,1
30,79,1
31,94,1
