,Name of Author,Authorship Score
608011,Ronald R. Yager,442.4649
250315,H. Vincent Poor,440.58337
751354,Witold Pedrycz,401.98355
291216,Irith Pomeranz,394.96252000000004
743452,Wei Wang,368.81577000000004
742797,Wei Li,358.2511
743593,Wei Zhang,355.22112999999996
687337,T. D. Wilson 0001,352.01666
785555,Yu Zhang,351.1919
186072,Elisa Bertino,349.1989
499038,Mohamed-Slim Alouini,347.4125
118184,Chin-Chen Chang 0001,342.7226
760610,Xin Wang,330.0196
562676,Philip S. Yu,329.04135
735263,Vladik Kreinovich,326.89496
154038,David Eppstein,319.6145
408514,Lei Zhang,316.91033999999996
352001,Joseph Y. Halpern,313.1042
529462,Noga Alon,312.6415
360754,Jun Wang,304.661
70943,Azzedine Boukerche,302.5028
331451,Jing Li,302.15558
779550,Yong Wang,301.9356
411756,Li Zhang,301.8916
332667,Jing Wang,300.0367
768740,Yang Liu,299.7787
409267,Lei Wang,289.0371
505049,Moshe Y. Vardi,288.1379
748684,Wil M. P. van der Aalst,286.25836
402467,Lajos Hanzo,283.4864
328892,Jie Wu 0001,275.2891
600854,Robert L. Glass,270.64285
231886,Georgios B. Giannakis,269.80118
331739,Jing Zhang,269.45987
278393,Hui Li,269.3073
533122,Oded Goldreich 0001,268.09882000000005
731099,Victor C. M. Leung,267.99014
767967,Yan Zhang,264.25525
251480,Hai Jin 0001,262.2273
512537,Nadia Magnenat-Thalmann,257.9029
704949,Thomas S. Huang,257.46227999999996
372064,Kang G. Shin,253.34762999999998
325609,Jian Wang,252.94597000000002
182439,Edwin R. Hancock,252.00894
419566,Loet Leydesdorff,250.79587
759918,Xin Li,250.21187
557521,Peter G. Neumann,249.82866
328335,Jiawei Han 0001,249.30248999999998
165199,Diane Crawford,249.0
360847,Jun Zhang,247.95045
767814,Yan Li,247.54771000000002
165453,Didier Dubois,247.48825
18339,Ajith Abraham,246.27900000000002
743115,Wei Chen,245.6625
742204,Wei Liu,244.9814
735417,Vishwani D. Agrawal,242.55296
411530,Li Li,242.37856000000002
769074,Yang Li,241.98871
241684,Grzegorz Rozenberg,241.73944
531512,Norman C. Beaulieu,241.03332999999998
768251,Yan Wang,240.02092000000002
623638,Sajal K. Das 0001,238.67262000000002
769238,Yang Yang,237.68576000000002
302734,Jack J. Dongarra,235.89105
755980,Xiang Li,234.71094
50696,Anil K. Jain 0001,234.3055
744651,Wen Gao 0001,232.92158999999998
777243,Ying Li,232.62949
521190,Neri Merhav,230.82497999999998
124610,Christoph Meinel,229.27005
326836,Jian Zhang,228.97388999999998
325526,Jian Li,227.23164
154988,David J. Evans 0001,225.00832999999997
584278,Rama Chellappa,222.86742999999998
602680,Robert W. Heath Jr.,221.90622000000002
271472,Holger Boche,221.65
776845,Ying Zhang,220.63858
84677,Bin Wang,220.58347
657699,Shusaku Tsumoto,220.54178
774200,Yi Zhang,220.3635
601245,Robert Schober,219.50685
410589,Leonard Barolli,218.56083999999998
30296,Alfredo Cuzzocrea,218.43798999999999
395559,Krishnendu Chakrabarty,218.1643
780271,Yong Liu,217.35998999999998
184783,Elena Maceviciute,216.4693
556207,Peng Li,215.80892999999998
422388,Luca Benini,215.56601
695344,Tao Wang,215.21896
677454,Sudhakar M. Reddy,215.05907000000002
152510,David Alan Grier,214.8375
99277,C.-C. Jay Kuo,214.77386
70878,Azriel Rosenfeld,214.575
258975,Harold Joseph Highland,214.54315
785336,Yu Liu,214.47157
258722,Hao Wang,214.41272999999998
142075,Dacheng Tao,214.35121
441522,Manfred Broy,213.28949
195346,Erol Gelenbe,212.15433
284151,Ian F. Akyildiz,211.78187999999997
